raio,Problema,Algoritmo,HV,IGD,pts,n_ref
0.05,Carside,NSGA-II,0.0001,0.0419,0.9524,12
0.05,Carside,PI-NSGA-II,0.0001,0.0377,1.5714,12
0.05,Carside,R-NSGA-II,0.0002,0.0236,100.0,12
0.05,Truss2D,NSGA-II,0.0038,0.0051,7.4762,44
0.05,Truss2D,PI-NSGA-II,0.004,0.0046,14.1905,44
0.05,Truss2D,R-NSGA-II,0.0043,0.0019,80.2381,44
0.05,WeldedBeam,NSGA-II,0.004,0.0028,12.619,98
0.05,WeldedBeam,PI-NSGA-II,0.0037,0.0132,36.7619,98
0.05,WeldedBeam,R-NSGA-II,0.0042,0.002,97.8095,98
0.1,Carside,NSGA-II,0.001,0.0477,2.9048,31
0.1,Carside,PI-NSGA-II,0.0012,0.0394,5.381,31
0.1,Carside,R-NSGA-II,0.0013,0.0513,100.0,31
0.1,Truss2D,NSGA-II,0.0163,0.0051,14.619,89
0.1,Truss2D,PI-NSGA-II,0.0164,0.006,26.381,89
0.1,Truss2D,R-NSGA-II,0.017,0.0025,94.4762,89
0.1,WeldedBeam,NSGA-II,0.0161,0.0028,25.0476,189
0.1,WeldedBeam,PI-NSGA-II,0.0141,0.0183,57.1429,189
0.1,WeldedBeam,R-NSGA-II,0.0147,0.0144,99.8095,189
0.2,Carside,NSGA-II,0.0114,0.056,8.6667,86
0.2,Carside,PI-NSGA-II,0.0143,0.0452,20.2857,86
0.2,Carside,R-NSGA-II,0.0091,0.1112,100.0,86
0.2,Truss2D,NSGA-II,0.0644,0.0052,28.2381,183
0.2,Truss2D,PI-NSGA-II,0.0636,0.0103,47.9524,183
0.2,Truss2D,R-NSGA-II,0.0606,0.0175,99.0476,183
0.2,WeldedBeam,NSGA-II,0.0601,0.0029,47.5238,349
0.2,WeldedBeam,PI-NSGA-II,0.0528,0.0324,77.8571,349
0.2,WeldedBeam,R-NSGA-II,0.0508,0.0508,99.9048,349
0.3,Carside,NSGA-II,0.0469,0.0594,18.9524,176
0.3,Carside,PI-NSGA-II,0.0532,0.0526,38.1429,176
0.3,Carside,R-NSGA-II,0.0295,0.1772,100.0,176
0.3,Truss2D,NSGA-II,0.1401,0.0052,41.6667,272
0.3,Truss2D,PI-NSGA-II,0.1366,0.0171,63.4286,272
0.3,Truss2D,R-NSGA-II,0.1252,0.0458,99.619,272
0.3,WeldedBeam,NSGA-II,0.1275,0.0038,65.1429,470
0.3,WeldedBeam,PI-NSGA-II,0.1132,0.0492,88.1905,470
0.3,WeldedBeam,R-NSGA-II,0.1072,0.0862,100.0,470
